domain,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
NH,1980,3450.0,18.637655550540405,18.861705144237824,18.380570694148943,19.63741996906611,0.1780014590308204,0.036290965357690864
NH,1981,3533.0,18.294148448931775,18.879505290140905,18.42348042228986,19.643360353942573,0.1780014590308204,0.036290965357690864
NH,1982,3769.0,18.859618534875338,18.897305436043986,18.458048405953537,19.628758223286578,0.1780014590308204,0.036290965357690864
NH,1983,3150.0,19.120266645513347,18.915105581947067,18.48820638652015,19.638846954518733,0.1780014590308204,0.036290965357690864
NH,1984,3978.0,18.878795166160444,18.932905727850155,18.524323788293277,19.646312488164345,0.1780014590308204,0.036290965357690864
NH,1985,4482.0,19.340422995756764,18.950705873753236,18.557548985507125,19.636811329625726,0.1780014590308204,0.036290965357690864
NH,1986,4131.0,18.75415382284658,18.968506019656317,18.592281709051274,19.63134267004166,0.1780014590308204,0.036290965357690864
NH,1987,3796.0,18.489300614357088,18.986306165559398,18.623980401967078,19.626333741867747,0.1780014590308204,0.036290965357690864
NH,1988,3440.0,19.21263458600676,19.00410631146248,18.65613565654679,19.6289196016232,0.1780014590308204,0.036290965357690864
NH,1989,4240.0,19.00846176525943,19.02190645736556,18.690339321058886,19.62854863077023,0.1780014590308204,0.036290965357690864
NH,1990,5027.0,18.944586099623113,19.03970660326864,18.723445060926082,19.634694885329196,0.1780014590308204,0.036290965357690864
NH,1991,4037.0,19.084403403620747,19.05750674917173,18.752539306527932,19.631702159312812,0.1780014590308204,0.036290965357690864
NH,1992,5296.0,18.832016289968177,19.07530689507481,18.78486172299946,19.633891076513475,0.1780014590308204,0.036290965357690864
NH,1993,4072.0,18.482681866208505,19.09310704097789,18.815151113263397,19.646747420285873,0.1780014590308204,0.036290965357690864
NH,1994,4943.0,18.692810361547114,19.110907186880972,18.84466531846055,19.650090346957906,0.1780014590308204,0.036290965357690864
NH,1995,4311.0,18.158028659967357,19.128707332784053,18.86634225653098,19.65309241549664,0.1780014590308204,0.036290965357690864
NH,1996,5058.0,18.295621735066785,19.146507478687134,18.88650068148437,19.670652160093088,0.1780014590308204,0.036290965357690864
NH,1997,4712.0,18.69329071202949,19.164307624590215,18.90555282336667,19.69001819926625,0.1780014590308204,0.036290965357690864
NH,1998,3345.0,19.733524805648443,19.182107770493303,18.925329448457028,19.706563545347013,0.1780014590308204,0.036290965357690864
NH,1999,3211.0,19.96881003053773,19.199907916396384,18.948344824772377,19.71350345015664,0.1780014590308204,0.036290965357690864
NH,2000,3637.0,20.116645090534327,19.217708062299465,18.970256900353295,19.722450402144858,0.1780014590308204,0.036290965357690864
NH,2001,3718.0,20.450469136473853,19.235508208202546,18.992135298424778,19.73385390066981,0.1780014590308204,0.036290965357690864
NH,2002,3578.0,19.81208107473255,19.253308354105627,19.009979579775557,19.766826955647286,0.1780014590308204,0.036290965357690864
NH,2003,3813.0,20.152346058303152,19.271108500008708,19.026087579777712,19.788235563338716,0.1780014590308204,0.036290965357690864
NH,2004,4269.0,19.476111716089676,19.28890864591179,19.04056781292105,19.807136648376584,0.1780014590308204,0.036290965357690864
NH,2005,4401.0,19.579409296308413,19.306708791814877,19.053131202895965,19.821471012861334,0.1780014590308204,0.036290965357690864
NH,2006,3754.0,20.242046473489324,19.324508937717958,19.066622452747747,19.840950958028944,0.1780014590308204,0.036290965357690864
NH,2007,3016.0,20.448896007043803,19.34230908362104,19.074343162902217,19.85567958719284,0.1780014590308204,0.036290965357690864
NH,2008,3475.0,20.921396380855356,19.36010922952412,19.081535873264567,19.893674357283093,0.1780014590308204,0.036290965357690864
NH,2009,3641.0,20.97485544922156,19.3779093754272,19.087457355912882,19.92319301248932,0.1780014590308204,0.036290965357690864
NH,2010,2917.0,19.40915421343641,19.395709521330282,19.101439086507177,19.944712174692178,0.1780014590308204,0.036290965357690864
NH,2011,3517.0,20.06786046302765,19.41350966723337,19.115169758021647,19.965116355000795,0.1780014590308204,0.036290965357690864
NH,2012,3795.0,19.538669774355416,19.43130981313645,19.12235036026354,19.98618349279893,0.1780014590308204,0.036290965357690864
NH,2013,3736.0,19.798773109351327,19.449109959039532,19.12421276272958,20.0071769009652,0.1780014590308204,0.036290965357690864
NH,2014,3700.0,20.025377962308962,19.466910104942613,19.12690619128296,20.027441449857086,0.1780014590308204,0.036290965357690864
NH,2015,4924.0,19.498255417889574,19.484710250845694,19.125944938859067,20.06804864693385,0.1780014590308204,0.036290965357690864
NH,2016,4047.0,19.298779631102903,19.502510396748775,19.122418881414024,20.09753056863038,0.1780014590308204,0.036290965357690864
NH,2017,3763.0,19.29150079872951,19.520310542651856,19.12696963033748,20.13224638869719,0.1780014590308204,0.036290965357690864
NH,2018,5095.0,19.193992084307013,19.538110688554944,19.126111013897237,20.17353382238031,0.1780014590308204,0.036290965357690864
NH,2019,4234.0,19.112744600472062,19.555910834458025,19.134798380107735,20.21510845734297,0.1780014590308204,0.036290965357690864
NH,2020,3818.0,19.102231883086706,19.573710980361106,19.130517433470928,20.24995317983207,0.1780014590308204,0.036290965357690864
NH,2021,3841.0,19.325849685110153,19.591511126264187,19.125632072607466,20.288162858557957,0.1780014590308204,0.036290965357690864
NH,2022,3341.0,18.708917934922535,19.609311272167268,19.11879658156162,20.32637253728383,0.1780014590308204,0.036290965357690864
NH,2023,3955.0,18.83835018287616,19.62711141807035,19.116556574338954,20.370776025039905,0.1780014590308204,0.036290965357690864
