domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high
WP,NH,0,0-15,-0.5309767605314706,-0.9615471683605763,-0.24901359929251193,0.06263352979756817,-0.04239157923011163,0.23523487351330907,-0.0573663265407128,-0.08095229095911322,0.06427758127682807,-0.5257095572746152,-0.7960069152095142,-0.2125995636811248
WP,NH,1,15-25,0.2987121264987617,0.051873442942115114,0.5591854597385981,-0.010599262190296253,-0.1694375530458381,0.15204322376744642,0.004863079194879747,-0.07048634489994517,0.08496108696239635,0.2929759435033452,-0.09804620195411508,0.6883118393157187
WP,NH,2,25-35,0.3060934858371772,0.07260947085194729,0.5844108828673755,0.04114754896822315,-0.027144896820752964,0.04640697130626341,-0.011872753734613828,-0.04311561135162326,0.03209169026574495,0.33536828107078653,0.10401117332245283,0.5878890368385435
WP,NH,3,35-90,0.11895775990033677,0.01401259231304373,0.1524255404941677,0.00732019549582774,-0.017879767589630332,0.026172107307193677,0.013564120432575462,-0.02045553196525156,0.012111143547586524,0.13984207582873998,0.010988756191461871,0.1581131177970238
EP,NH,0,0-15,-0.24262239334096763,-0.7581898889346134,0.11115513200876874,0.19058990058189604,-0.01969587186693344,0.3177179415725284,0.031733430239606564,-0.12295437146152927,0.09147599427691343,-0.020299062519465026,-0.6929577723021819,0.32772608911982337
EP,NH,1,15-25,0.09652128288053861,-0.12689503388673984,0.650084233964442,0.05194176517754971,-0.09515693919657224,0.266942278012074,-0.013679956181492342,-0.10474756238992466,0.10946839170573958,0.13478309187659598,-0.026006750229080677,0.7031742835051357
EP,NH,2,25-35,0.08095733584426792,-0.028681909669608825,0.1421947507740129,-0.003910553600345437,-0.036518609984429726,0.04500042605296429,0.0038902035797340334,-0.022060439954787976,0.025727621071405516,0.08093698582365652,-0.009368716258164024,0.14384508370907728
EP,NH,3,35-90,-0.00037427952655262695,-0.009672411423513534,0.009073657501812198,-0.003009014655704103,-0.007283519459915646,0.00095157455583973,0.0006637347973732447,-0.0024349457862432246,0.005294405930708469,-0.002719559384883485,-0.010401223308230158,0.007166639067211644
NA,NH,0,0-15,0.039048594300316104,-0.11943585200368859,0.20409595313636733,0.06591376152886566,-0.11509112226566437,0.0896310493619973,-0.033169557931308054,-0.08321166638505145,0.08545336038713428,0.07179279789787371,-0.12610636372850176,0.2032395680545561
NA,NH,1,15-25,0.045245383840371,-0.6201757448472617,0.36472003103427597,0.03680779143605223,-0.02302019571729264,0.20422231181375738,-0.006130574844249094,-0.07233877597747991,0.1543275080013031,0.07592260043217414,-0.5045320695532353,0.4903620693033679
