SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,25.149998,193.15001,0.375,0.125,False,2334731
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,25.05,193.15001,0.4375,0.14583333,False,2338331
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,25.05,193.25,0.5625,0.1875,False,2338332
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,25.05,193.35,0.4375,0.14583333,False,2338333
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,25.05,193.45,0.6875,0.22916667,False,2338334
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.15001,0.375,0.125,False,2341931
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.25,0.5,0.16666667,False,2341932
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.35,0.5,0.16666667,False,2341933
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.45,0.5625,0.1875,False,2341934
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.55,0.4375,0.14583333,False,2341935
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.65001,0.5625,0.1875,False,2341936
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.95,193.75,0.625,0.20833333,False,2341937
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,192.85,0.3125,0.104166664,False,2345528
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,192.95,0.375,0.125,False,2345529
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.05,0.375,0.125,False,2345530
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.15001,0.3125,0.104166664,False,2345531
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.25,0.375,0.125,False,2345532
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.35,0.4375,0.14583333,False,2345533
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.45,0.375,0.125,False,2345534
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.65001,0.375,0.125,False,2345536
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.75,0.375,0.125,False,2345537
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.85,0.375,0.125,False,2345538
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.850002,193.95,0.375,0.125,False,2345539
