SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,ROW,IS_INTERPOLATED_TIMESTEP,POT99_MM_3H
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.45,193.35,13.3125,4.4375,2395933,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.45,193.45,12.5,4.1666665,2395934,False,10.7139
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.45,193.55,10.8125,3.6041667,2395935,False,10.7139
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,192.85,10.25,3.4166667,2399528,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,192.95,10.3125,3.4375,2399529,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,193.15001,14.125,4.7083335,2399531,False,10.474501
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,193.25,10.625,3.5416667,2399532,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,193.35,14.6875,4.8958335,2399533,False,10.474501
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.350002,193.45,13.4375,4.4791665,2399534,False,10.474501
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,192.55,10.5,3.5,2403125,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,192.65001,11.5,3.8333333,2403126,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,192.75,12.625,4.2083335,2403127,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,192.85,12.125,4.0416665,2403128,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,193.05,10.4375,3.4791667,2403130,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,193.15001,12.25,4.0833335,2403131,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.249996,193.25,10.5,3.5,2403132,False,10.2351
