band_idx,TCEP_INTENSITY_MM_3H,band_label
2,11.6875,15-20
2,11.896634615384615,15-20
2,10.777777777777779,15-20
2,11.881944444444445,15-20
2,12.412621359223301,15-20
2,12.051020408163266,15-20
1,15.313793103448276,10-15
1,11.465909090909092,10-15
1,11.840909090909092,10-15
1,13.055921052631579,10-15
1,13.437694704049845,10-15
1,13.56004213483146,10-15
1,12.8901632970451,10-15
1,13.095703125,10-15
1,12.294956140350877,10-15
1,13.773358585858587,10-15
1,14.175084175084175,10-15
1,14.989072494669509,10-15
1,13.82913961038961,10-15
1,12.877528901734104,10-15
1,12.758928571428571,10-15
1,15.432971014492754,10-15
1,19.974798387096776,10-15
1,17.503597122302157,10-15
1,16.762722646310433,10-15
2,18.606774415405777,15-20
2,18.802859897172237,15-20
2,20.503196022727273,15-20
2,19.785954301075268,15-20
2,16.829838709677418,15-20
2,13.30625,15-20
2,15.391666666666667,15-20
2,17.845394736842106,15-20
2,24.00462962962963,15-20
2,25.284558823529412,15-20
2,47.550959449674146,15-20
2,28.952350859453993,15-20
2,32.87344490521327,15-20
2,27.093634686346864,15-20
3,31.308520599250937,20-90
3,24.196492805755394,20-90
3,23.85407608695652,20-90
3,24.950966850828728,20-90
3,24.516826923076923,20-90
3,23.60054347826087,20-90
1,16.8125,10-15
1,25.58016304347826,10-15
1,21.791666666666668,10-15
1,20.634664948453608,10-15
2,24.606336805555557,15-20
2,22.56186224489796,15-20
2,19.54940476190476,15-20
2,23.68092105263158,15-20
2,21.372438524590162,15-20
2,21.339631782945737,15-20
2,27.680059523809526,15-20
2,25.330007530120483,15-20
2,23.263708178438662,15-20
2,25.225914634146342,15-20
2,24.028726708074533,15-20
2,22.97897465437788,15-20
2,26.727893013100438,15-20
2,28.527901785714285,15-20
2,32.11050724637681,15-20
2,29.99509385665529,15-20
2,25.523011363636364,15-20
2,26.081487341772153,15-20
2,24.092105263157894,15-20
2,27.1380380794702,15-20
2,35.870655829596416,15-20
2,32.028058510638296,15-20
2,26.30096153846154,15-20
2,27.85820707070707,15-20
2,30.7361798679868,15-20
2,28.988392857142856,15-20
2,28.687356651376145,15-20
3,25.373333333333335,20-90
3,25.260840471092077,20-90
3,21.093016431924884,20-90
3,26.345221055979643,20-90
3,22.43184673366834,20-90
3,25.32295271049596,20-90
3,25.702377988047807,20-90
3,24.57987599510104,20-90
3,25.645352369380316,20-90
3,24.778607871720116,20-90
3,25.09431818181818,20-90
3,25.80715767634855,20-90
3,26.24114001396648,20-90
3,24.399195112490304,20-90
3,24.53199965729952,20-90
3,22.520565035415324,20-90
3,20.50239288969918,20-90
3,19.168309369202227,20-90
3,18.40066425120773,20-90
3,20.025447427293066,20-90
3,16.416078154425612,20-90
3,21.339754566210047,20-90
3,27.739639037433154,20-90
3,18.25404676258993,20-90
3,16.08125,20-90
3,14.645833333333334,20-90
3,12.481617647058824,20-90
3,14.758461538461539,20-90
3,13.852370689655173,20-90
3,11.654779411764705,20-90
1,10.658405172413794,10-15
1,11.723850148367953,10-15
1,17.22313904494382,10-15
1,13.980324074074074,10-15
1,12.98482142857143,10-15
1,12.167268786127167,10-15
1,11.205729166666666,10-15
1,11.307522123893806,10-15
1,11.67123287671233,10-15
1,14.746458923512748,10-15
1,13.796793193717278,10-15
1,13.783494475138122,10-15
1,13.855371900826446,10-15
1,14.1953125,10-15
1,16.517551369863014,10-15
1,14.261270491803279,10-15
1,15.524497487437186,10-15
1,18.517926356589147,10-15
2,17.225081699346404,15-20
2,22.572916666666668,15-20
2,20.2703488372093,15-20
2,19.653543307086615,15-20
2,24.846123417721518,15-20
1,30.409972924187727,10-15
1,34.010975609756095,10-15
1,28.629415760869566,10-15
1,25.148888888888887,10-15
1,29.16175629290618,10-15
1,32.039236972704714,10-15
2,26.503919491525423,15-20
2,25.854166666666668,15-20
2,31.848502304147466,15-20
2,39.85828877005348,15-20
2,37.16551906779661,15-20
2,34.88221153846154,15-20
2,35.87007874015748,15-20
2,36.585435779816514,15-20
2,32.83323732718894,15-20
2,34.03780864197531,15-20
2,47.57442434210526,15-20
2,43.7976598173516,15-20
2,34.411909448818896,15-20
2,27.940290178571427,15-20
2,31.963068181818183,15-20
2,35.94236111111111,15-20
2,42.94244350282486,15-20
2,31.126820388349515,15-20
2,38.71266968325792,15-20
2,36.12389964788732,15-20
2,38.72684262948207,15-20
2,32.18084016393443,15-20
2,30.38926348547718,15-20
2,28.42890625,15-20
3,25.725,20-90
3,26.782327586206897,20-90
3,24.99772727272727,20-90
3,28.821257961783438,20-90
3,24.071875,20-90
3,21.578893442622952,20-90
3,25.96047794117647,20-90
3,22.822066326530614,20-90
3,29.007954545454545,20-90
3,22.602430555555557,20-90
3,19.59285714285714,20-90
3,19.219190140845072,20-90
3,19.12202380952381,20-90
3,18.96537162162162,20-90
3,16.957386363636363,20-90
3,16.485,20-90
3,14.066964285714286,20-90
3,13.838662790697674,20-90
3,15.100142045454545,20-90
3,16.6280193236715,20-90
3,17.540268456375838,20-90
3,12.919642857142858,20-90
3,10.708333333333334,20-90
1,10.354166666666666,10-15
1,11.69083969465649,10-15
1,12.381746031746031,10-15
1,14.636117788461538,10-15
1,14.085538752362949,10-15
3,19.800651658767773,20-90
3,16.61281779661017,20-90
3,14.74449481865285,20-90
3,19.29816176470588,20-90
3,21.677083333333332,20-90
3,18.33443813131313,20-90
3,19.68923611111111,20-90
3,24.209651898734176,20-90
3,22.72640041493776,20-90
3,20.23286052009456,20-90
3,19.386529126213592,20-90
3,14.054276315789474,20-90
3,14.889470443349754,20-90
3,15.131109022556391,20-90
3,11.617077464788732,20-90
3,15.91609589041096,20-90
3,17.12546781437126,20-90
3,17.4951171875,20-90
2,17.39232377538829,15-20
2,15.522203075291623,15-20
2,14.581439393939394,15-20
2,16.42468525179856,15-20
2,19.89891975308642,15-20
2,13.118263473053892,15-20
2,15.50358422939068,15-20
3,18.29096283783784,20-90
3,16.438692098092645,20-90
3,16.92390625,20-90
3,20.01044568245125,20-90
3,23.05,20-90
3,24.548720472440944,20-90
3,21.905396174863387,20-90
3,23.541846485819974,20-90
3,23.67849241466498,20-90
3,21.867732558139537,20-90
3,22.170081967213115,20-90
3,23.839907786885245,20-90
3,22.162804307116104,20-90
3,22.05141509433962,20-90
3,19.331856955380577,20-90
3,16.752032520325205,20-90
3,21.323792016806724,20-90
3,17.89903846153846,20-90
3,19.361337209302327,20-90
2,15.710805084745763,15-20
2,13.37536231884058,15-20
2,11.718382352941177,15-20
2,10.213333333333333,15-20
2,10.404702970297029,15-20
2,10.85546875,15-20
2,12.653125,15-20
2,12.671006944444445,15-20
2,10.914713541666666,15-20
2,11.680921052631579,15-20
2,11.494318181818182,15-20
2,10.208928571428572,15-20
2,12.674890350877194,15-20
2,16.11875,15-20
2,16.57037037037037,15-20
2,14.132067627494457,15-20
2,14.403508771929825,15-20
2,14.852802924791087,15-20
2,14.644083198707593,15-20
2,13.6726108033241,15-20
3,13.14041095890411,20-90
3,12.222697368421052,20-90
3,13.38940329218107,20-90
3,15.077442159383033,20-90
3,16.234019501625134,20-90
3,16.53427734375,20-90
2,17.67775229357798,15-20
2,13.864087301587302,15-20
2,14.765330188679245,15-20
2,14.52107558139535,15-20
2,15.12801204819277,15-20
2,14.016002415458937,15-20
2,14.57697807435653,15-20
2,13.366942508710801,15-20
2,13.332113583138174,15-20
2,11.8285536159601,15-20
2,10.349603174603175,15-20
2,13.726201923076923,15-20
2,11.924689440993788,15-20
2,13.466540404040405,15-20
2,17.923649267399266,15-20
2,16.07736111111111,15-20
2,16.590082908163264,15-20
2,17.726822250639387,15-20
2,18.81393442622951,15-20
2,18.473522167487683,15-20
2,22.662487524950098,15-20
2,19.817073804573806,15-20
2,13.170411089866157,15-20
2,12.373931014823262,15-20
2,12.475279106858054,15-20
2,13.21324233716475,15-20
2,12.817902542372881,15-20
2,13.899202127659574,15-20
3,14.750192307692307,20-90
3,14.826967592592593,20-90
3,13.060338616714697,20-90
3,14.748705408515535,20-90
3,14.179267342166797,20-90
3,12.9781308630394,20-90
3,15.16044776119403,20-90
3,14.933434190620272,20-90
3,16.23328625235405,20-90
3,17.318359375,20-90
3,17.616059711286088,20-90
3,14.918450342465754,20-90
3,15.243913398692811,20-90
3,13.739134041141341,20-90
3,13.718281148075668,20-90
3,14.56549459041731,20-90
3,13.169996194824963,20-90
3,12.738547904191616,20-90
3,12.637553995680346,20-90
3,13.781079234972678,20-90
3,12.81364766641163,20-90
3,13.081884657836644,20-90
3,13.008796296296296,20-90
3,12.62684184675835,20-90
3,13.191443594646271,20-90
3,16.287208686440678,20-90
3,13.298635181975737,20-90
3,13.323843012704174,20-90
3,13.935665712240516,20-90
3,14.522101449275363,20-90
3,14.345769961977187,20-90
3,13.720897766323024,20-90
3,14.809420289855073,20-90
3,14.461877278250304,20-90
3,16.651588702559575,20-90
3,18.874219324026452,20-90
3,20.190837783711615,20-90
3,18.914881447587355,20-90
3,15.736192714453583,20-90
3,16.84735254691689,20-90
3,19.395833333333332,20-90
3,18.58240553306343,20-90
3,18.429823097463284,20-90
3,19.01681857638889,20-90
3,17.742444152431013,20-90
3,19.88119295958279,20-90
3,24.28587147887324,20-90
3,22.816399082568807,20-90
3,20.218815240083508,20-90
3,21.787225042301184,20-90
3,23.057842771982116,20-90
3,23.944951923076925,20-90
3,24.298936170212766,20-90
3,22.12034161490683,20-90
3,20.379934210526315,20-90
3,18.30751050420168,20-90
3,16.256150265957448,20-90
3,18.149348159509202,20-90
3,17.326026119402986,20-90
3,16.15078431372549,20-90
3,18.810748598879105,20-90
3,19.516018211920528,20-90
3,18.63619886069394,20-90
3,16.05705025240936,20-90
3,15.136762189905902,20-90
3,14.447029934518241,20-90
3,13.288861928616155,20-90
3,11.788007982583455,20-90
3,11.85823754789272,20-90
3,15.768987341772151,20-90
3,13.466463414634147,20-90
1,15.192175810473815,10-15
1,21.162994604316548,10-15
1,18.220769961977187,10-15
1,16.899446494464943,10-15
1,20.55362215909091,10-15
1,20.918478260869566,10-15
1,18.955770241850683,10-15
1,18.338052161654137,10-15
1,18.98121165644172,10-15
1,21.97827896138482,10-15
1,20.542558365758754,10-15
1,22.59894921190893,10-15
1,23.715500945179585,10-15
1,31.734102244389028,10-15
1,28.518254352030947,10-15
1,26.600131752305664,10-15
1,23.341993701550386,10-15
1,21.65607810781078,10-15
1,24.26815442020666,10-15
1,21.274751243781093,10-15
1,20.729232594936708,10-15
2,20.65063202247191,15-20
2,18.34244912118409,15-20
2,34.04161227154047,15-20
2,32.84736646884273,15-20
2,29.735282874617738,15-20
2,25.132122507122507,15-20
2,21.107521186440678,15-20
2,23.491395793499045,15-20
2,24.28886925795053,15-20
2,22.93283371040724,15-20
2,21.664703110273326,15-20
2,22.803784266984504,15-20
2,18.3285472972973,15-20
2,16.525514981273407,15-20
2,24.359448356807512,15-20
2,25.826867816091955,15-20
2,20.245280612244898,15-20
2,20.931948424068768,15-20
2,28.682585995085994,15-20
2,30.573519283746556,15-20
2,28.843055555555555,15-20
2,16.5375,15-20
2,11.778125,15-20
2,14.29646017699115,15-20
3,19.430268595041323,20-90
