year,domain,surface,band_idx,band_label,n_j,vol_j
1980,NH,land,0,0-15,16010,415608.7
1980,NH,land,1,15-25,47434,1322943.4
1980,NH,land,2,25-35,15804,435912.44
1980,NH,land,3,35-90,23676,329779.3
1980,NH,ocean,0,0-15,530134,8897155.0
1980,NH,ocean,1,15-25,461308,9033179.0
1980,NH,ocean,2,25-35,138565,3284189.0
1980,NH,ocean,3,35-90,144778,2283465.5
1980,SH,land,0,0-10,2592,41482.625
1980,SH,land,1,10-15,8243,180515.62
1980,SH,land,2,15-20,16744,433447.25
1980,SH,land,3,20-90,21202,444102.3
1980,SH,ocean,0,0-10,44501,719480.8
1980,SH,ocean,1,10-15,243220,4316534.0
1980,SH,ocean,2,15-20,217340,4332578.5
1980,SH,ocean,3,20-90,296393,6009821.0
1981,NH,land,0,0-15,16278,394169.44
1981,NH,land,1,15-25,45574,1121277.0
1981,NH,land,2,25-35,18703,534030.0
1981,NH,land,3,35-90,35982,563093.44
1981,NH,ocean,0,0-15,413593,7136256.5
1981,NH,ocean,1,15-25,651563,12841259.0
1981,NH,ocean,2,25-35,262185,5832460.5
1981,NH,ocean,3,35-90,225839,3814138.5
1981,SH,land,0,0-10,417,6795.4375
1981,SH,land,1,10-15,9311,245637.44
1981,SH,land,2,15-20,13364,519390.12
1981,SH,land,3,20-90,8526,236147.44
1981,SH,ocean,0,0-10,107622,2045558.5
1981,SH,ocean,1,10-15,293853,5077155.5
1981,SH,ocean,2,15-20,208354,4050031.5
1981,SH,ocean,3,20-90,173844,3893714.0
1982,NH,land,0,0-15,13126,328810.75
1982,NH,land,1,15-25,29863,756168.0
1982,NH,land,2,25-35,20698,564630.5
1982,NH,land,3,35-90,24131,348260.0
1982,NH,ocean,0,0-15,423025,7102930.0
1982,NH,ocean,1,15-25,471015,9412566.0
1982,NH,ocean,2,25-35,188314,4374124.5
1982,NH,ocean,3,35-90,108540,1764508.5
1982,SH,land,0,0-10,942,17846.125
1982,SH,land,1,10-15,9391,212677.06
1982,SH,land,2,15-20,14994,381041.12
1982,SH,land,3,20-90,9074,202793.38
1982,SH,ocean,0,0-10,111075,2007652.8
1982,SH,ocean,1,10-15,362229,6632431.0
1982,SH,ocean,2,15-20,230139,4540894.0
1982,SH,ocean,3,20-90,198049,4228271.5
1983,NH,land,0,0-15,18444,439198.2
1983,NH,land,1,15-25,54448,1352961.5
1983,NH,land,2,25-35,12753,341420.06
1983,NH,land,3,35-90,748,16051.75
1983,NH,ocean,0,0-15,500642,9578034.0
1983,NH,ocean,1,15-25,295366,6745975.0
1983,NH,ocean,2,25-35,91446,2102226.8
1983,NH,ocean,3,35-90,37822,749014.8
1983,SH,land,0,0-10,409,6323.8125
1983,SH,land,1,10-15,4576,88346.19
1983,SH,land,2,15-20,5989,141986.31
1983,SH,land,3,20-90,13243,273189.12
1983,SH,ocean,0,0-10,71418,999728.06
1983,SH,ocean,1,10-15,659701,9760626.0
1983,SH,ocean,2,15-20,464886,8416824.0
1983,SH,ocean,3,20-90,201980,4874003.0
1984,NH,land,0,0-15,20300,448864.38
1984,NH,land,1,15-25,38299,956402.9
1984,NH,land,2,25-35,15645,380064.75
1984,NH,land,3,35-90,17642,403817.38
1984,NH,ocean,0,0-15,470375,8415400.0
1984,NH,ocean,1,15-25,603726,11584566.0
1984,NH,ocean,2,25-35,209844,4593976.0
1984,NH,ocean,3,35-90,115815,2109311.5
1984,SH,land,0,0-10,1924,33073.062
1984,SH,land,1,10-15,12057,275154.62
1984,SH,land,2,15-20,24918,633737.0
1984,SH,land,3,20-90,20514,532492.94
1984,SH,ocean,0,0-10,25278,399064.88
1984,SH,ocean,1,10-15,220207,3939025.8
1984,SH,ocean,2,15-20,276470,5836730.0
1984,SH,ocean,3,20-90,231921,5405642.5
1985,NH,land,0,0-15,16208,347895.75
1985,NH,land,1,15-25,70593,1683416.9
1985,NH,land,2,25-35,24732,637705.2
1985,NH,land,3,35-90,49583,928034.7
1985,NH,ocean,0,0-15,576778,10690604.0
1985,NH,ocean,1,15-25,544717,10904742.0
1985,NH,ocean,2,25-35,184223,4176825.5
1985,NH,ocean,3,35-90,82320,1455785.2
1985,SH,land,0,0-10,5266,95086.81
1985,SH,land,1,10-15,16728,392726.75
1985,SH,land,2,15-20,20364,486544.38
1985,SH,land,3,20-90,7632,152429.62
1985,SH,ocean,0,0-10,42778,677805.25
1985,SH,ocean,1,10-15,363163,6705758.0
1985,SH,ocean,2,15-20,442136,9029291.0
1985,SH,ocean,3,20-90,212950,4529981.0
1986,NH,land,0,0-15,18561,457671.5
1986,NH,land,1,15-25,46681,1143305.0
1986,NH,land,2,25-35,6592,190891.81
1986,NH,land,3,35-90,19535,353595.44
1986,NH,ocean,0,0-15,812579,14518686.0
1986,NH,ocean,1,15-25,745406,14683239.0
1986,NH,ocean,2,25-35,149266,3262253.2
1986,NH,ocean,3,35-90,85034,1582107.8
1986,SH,land,0,0-10,1237,21292.812
1986,SH,land,1,10-15,4383,111077.69
1986,SH,land,2,15-20,26926,673685.3
1986,SH,land,3,20-90,9221,202562.31
1986,SH,ocean,0,0-10,98670,1791205.6
1986,SH,ocean,1,10-15,360044,6588306.0
1986,SH,ocean,2,15-20,336903,6881015.0
1986,SH,ocean,3,20-90,235005,5280077.5
1987,NH,land,0,0-15,20617,502979.3
1987,NH,land,1,15-25,63549,1512490.0
1987,NH,land,2,25-35,13779,364858.75
1987,NH,land,3,35-90,8257,160937.5
1987,NH,ocean,0,0-15,604245,10778141.0
1987,NH,ocean,1,15-25,599217,11488822.0
1987,NH,ocean,2,25-35,158706,3630924.0
1987,NH,ocean,3,35-90,111788,1686447.6
1987,SH,land,0,0-10,2246,38947.562
1987,SH,land,1,10-15,6175,148351.19
1987,SH,land,2,15-20,7927,203221.5
1987,SH,land,3,20-90,12959,247563.94
1987,SH,ocean,0,0-10,91448,1499657.5
1987,SH,ocean,1,10-15,328096,6000405.0
1987,SH,ocean,2,15-20,226579,4787165.0
1987,SH,ocean,3,20-90,267865,5502504.5
1988,NH,land,0,0-15,45462,1098726.2
1988,NH,land,1,15-25,57979,1500008.8
1988,NH,land,2,25-35,8831,261362.0
1988,NH,land,3,35-90,6520,113250.125
1988,NH,ocean,0,0-15,639174,11518642.0
1988,NH,ocean,1,15-25,602214,11458083.0
1988,NH,ocean,2,25-35,171907,3769483.0
1988,NH,ocean,3,35-90,142737,2266174.5
1988,SH,land,0,0-10,1675,32593.75
1988,SH,land,1,10-15,8538,233686.31
1988,SH,land,2,15-20,12628,285407.44
1988,SH,land,3,20-90,8640,215110.12
1988,SH,ocean,0,0-10,191093,4247979.5
1988,SH,ocean,1,10-15,358993,7106344.5
1988,SH,ocean,2,15-20,319201,6592993.0
1988,SH,ocean,3,20-90,182993,4105004.8
1989,NH,land,0,0-15,12992,343138.06
1989,NH,land,1,15-25,65914,1801322.0
1989,NH,land,2,25-35,19710,559656.56
1989,NH,land,3,35-90,36366,502557.44
1989,NH,ocean,0,0-15,616960,11024669.0
1989,NH,ocean,1,15-25,725005,13826440.0
1989,NH,ocean,2,25-35,172232,3909841.0
1989,NH,ocean,3,35-90,189051,2924079.2
1989,SH,land,0,0-10,973,17404.438
1989,SH,land,1,10-15,5050,105430.25
1989,SH,land,2,15-20,16274,374213.0
1989,SH,land,3,20-90,15878,356460.38
1989,SH,ocean,0,0-10,93206,1774511.0
1989,SH,ocean,1,10-15,397637,7014775.0
1989,SH,ocean,2,15-20,360459,7449168.0
1989,SH,ocean,3,20-90,363441,8501654.0
1990,NH,land,0,0-15,26452,601403.56
1990,NH,land,1,15-25,53830,1435173.6
1990,NH,land,2,25-35,27933,797065.6
1990,NH,land,3,35-90,20526,364525.38
1990,NH,ocean,0,0-15,899156,16037594.0
1990,NH,ocean,1,15-25,764194,15000663.0
1990,NH,ocean,2,25-35,154815,3774796.5
1990,NH,ocean,3,35-90,120851,1826741.4
1990,SH,land,0,0-10,57,1029.6875
1990,SH,land,1,10-15,9431,222281.06
1990,SH,land,2,15-20,6537,199629.88
1990,SH,land,3,20-90,18589,428729.88
1990,SH,ocean,0,0-10,255833,5471244.5
1990,SH,ocean,1,10-15,473634,9038496.0
1990,SH,ocean,2,15-20,394653,8099798.5
1990,SH,ocean,3,20-90,231485,5284901.5
1991,NH,land,0,0-15,15109,369450.38
1991,NH,land,1,15-25,47822,1293318.8
1991,NH,land,2,25-35,13903,366430.5
1991,NH,land,3,35-90,16667,308369.2
1991,NH,ocean,0,0-15,694117,11983368.0
1991,NH,ocean,1,15-25,576017,11652418.0
1991,NH,ocean,2,25-35,209777,4844881.0
1991,NH,ocean,3,35-90,180283,3123613.0
1991,SH,land,0,0-10,1674,33485.375
1991,SH,land,1,10-15,2588,57062.438
1991,SH,land,2,15-20,16191,404220.44
1991,SH,land,3,20-90,3989,92742.06
1991,SH,ocean,0,0-10,158034,2949840.5
1991,SH,ocean,1,10-15,412490,8188012.5
1991,SH,ocean,2,15-20,242791,5124615.0
1991,SH,ocean,3,20-90,116354,2408638.0
1992,NH,land,0,0-15,21239,517970.2
1992,NH,land,1,15-25,56389,1353758.6
1992,NH,land,2,25-35,23080,618783.2
1992,NH,land,3,35-90,13887,275202.2
1992,NH,ocean,0,0-15,1051212,19705508.0
1992,NH,ocean,1,15-25,867759,17274698.0
1992,NH,ocean,2,25-35,212606,4576822.5
1992,NH,ocean,3,35-90,176067,2824930.0
1992,SH,land,0,0-10,1998,27625.75
1992,SH,land,1,10-15,8523,222486.62
1992,SH,land,2,15-20,4263,111104.875
1992,SH,land,3,20-90,7089,195474.94
1992,SH,ocean,0,0-10,180747,3294302.2
1992,SH,ocean,1,10-15,488659,9681521.0
1992,SH,ocean,2,15-20,305711,6454487.0
1992,SH,ocean,3,20-90,331298,7355345.0
1993,NH,land,0,0-15,31607,771850.94
1993,NH,land,1,15-25,44687,1124692.2
1993,NH,land,2,25-35,12460,401549.06
1993,NH,land,3,35-90,19721,320272.75
1993,NH,ocean,0,0-15,775773,13412771.0
1993,NH,ocean,1,15-25,493248,10269275.0
1993,NH,ocean,2,25-35,180988,4380997.0
1993,NH,ocean,3,35-90,158942,2465289.5
1993,SH,land,0,0-10,1989,49030.75
1993,SH,land,1,10-15,9720,221230.31
1993,SH,land,2,15-20,17212,364014.2
1993,SH,land,3,20-90,14944,332947.94
