YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
1980,0,1351,22546.42217031578,16.688691465814788,0-15,0.39159420289855074,NH
1980,1,1359,27521.290053835404,20.251133225780283,15-25,0.3939130434782609,NH
1980,2,449,9909.831115829977,22.070893353741596,25-35,0.13014492753623189,NH
1980,3,291,4322.3683093832415,14.853499344959593,35-90.0001,0.08434782608695653,NH
1981,0,1122,17756.220932460616,15.825508852460441,0-15,0.3175771299179168,NH
1981,1,1441,28432.315109951,19.730961214400416,15-25,0.4078686668553637,NH
1981,2,588,12274.13403763381,20.874377615023487,25-35,0.16643079535805264,NH
1981,3,382,6170.556390030534,16.153288979137525,35-90.0001,0.10812340786866685,NH
1982,0,1548,26744.410321571155,17.276750853728135,0-15,0.4107190236136906,NH
1982,1,1495,29527.292377700036,19.75069724260872,15-25,0.39665693817988856,NH
1982,2,478,10633.475158207686,22.245763929304783,25-35,0.12682409127089414,NH
1982,3,248,4176.72440046627,16.84163064704141,35-90.0001,0.06579994693552667,NH
1983,0,1476,24958.221801658674,16.909364364267393,0-15,0.4685714285714286,NH
1983,1,1279,26920.612751533186,21.04817259697669,15-25,0.406031746031746,NH
1983,2,323,6852.880695379049,21.216348902102318,25-35,0.10253968253968254,NH
1983,3,72,1497.124684796135,20.79339839994632,35-90.0001,0.022857142857142857,NH
1984,0,1378,24273.33507191817,17.614902084120587,0-15,0.3464052287581699,NH
1984,1,1669,32714.83060386485,19.60145632346606,15-25,0.41955756661639015,NH
1984,2,656,13204.993664459105,20.12956351289498,25-35,0.1649069884364002,NH
1984,3,275,4906.687830744122,17.842501202705897,35-90.0001,0.06913021618903972,NH
1985,0,1516,26374.282970738423,17.397284281489725,0-15,0.3382418563141455,NH
1985,1,1949,39326.94764603085,20.17801315855867,15-25,0.43485051316376616,NH
1985,2,692,15311.345419016794,22.126221703781493,25-35,0.15439535921463632,NH
1985,3,325,5671.199831195739,17.449845634448426,35-90.0001,0.07251227130745203,NH
1986,0,1842,31061.08506971793,16.862695477588453,0-15,0.4458968772694263,NH
1986,1,1643,34203.9678021035,20.817996227695375,15-25,0.39772452190752844,NH
1986,2,359,7456.064440662792,20.768981728865715,25-35,0.0869038973614137,NH
1986,3,287,4752.2921296950035,16.55850916270036,35-90.0001,0.06947470346163157,NH
1987,0,1612,27456.38571537469,17.032497342043854,0-15,0.4246575342465753,NH
1987,1,1440,27988.74946469529,19.436631572705064,15-25,0.3793466807165437,NH
1987,2,530,11371.605895640569,21.455860180453904,25-35,0.13962065331928344,NH
1987,3,214,3368.6440563889505,15.741327366303507,35-90.0001,0.05637513171759747,NH
1988,0,1062,18713.63402008953,17.621124312702005,0-15,0.30872093023255814,NH
1988,1,1587,31039.31614544787,19.558485283836085,15-25,0.4613372093023256,NH
1988,2,582,12709.183006673047,21.83708420390558,25-35,0.1691860465116279,NH
1988,3,209,3629.3298036528145,17.365214371544567,35-90.0001,0.06075581395348837,NH
1989,0,1286,22747.342751147105,17.688446929352338,0-15,0.30330188679245285,NH
1989,1,2050,39799.573162617926,19.414425932984354,15-25,0.4834905660377358,NH
1989,2,559,12363.565078685644,22.117289943981476,25-35,0.13183962264150945,NH
1989,3,345,5685.396892249313,16.47941128188207,35-90.0001,0.08136792452830188,NH
1990,0,1977,34503.32189641457,17.452363124134838,0-15,0.39327630793713947,NH
1990,1,2117,42573.4766908142,20.11028658045073,15-25,0.42112592003182814,NH
1990,2,596,12790.692251031252,21.46089303864304,25-35,0.11855977720310325,NH
1990,3,337,5366.943484545353,15.925648322093037,35-90.0001,0.06703799482792919,NH
1991,0,1588,26993.892584197405,16.9986729119631,0-15,0.3933614069853852,NH
1991,1,1596,33300.68707053345,20.86509214945705,15-25,0.39534307654198664,NH
1991,2,597,12590.237810200295,21.08917556147453,25-35,0.14788209066138222,NH
1991,3,256,4158.919075485794,16.24577763861638,35-90.0001,0.06341342581124597,NH
1992,0,2145,37089.24471326003,17.291023176345,0-15,0.4050226586102719,NH
1992,1,2178,44383.95500873727,20.378308084819682,15-25,0.4112537764350453,NH
1992,2,619,12827.804992407904,20.723432944116162,25-35,0.11688066465256798,NH
1992,3,354,5433.353557266246,15.348456376458321,35-90.0001,0.0668429003021148,NH
1993,0,2029,33278.720022755224,16.401537714517115,0-15,0.49828094302554027,NH
1993,1,1426,29443.06099472987,20.647307850441702,15-25,0.35019646365422397,NH
1993,2,358,8250.77502383452,23.046857608476312,25-35,0.08791748526522593,NH
1993,3,259,4288.924517881412,16.559554123094255,35-90.0001,0.06360510805500982,NH
1994,0,1797,30739.694623734063,17.1061183214992,0-15,0.3635444062310338,NH
1994,1,2079,39955.11480130269,19.21842943785603,15-25,0.42059478049767346,NH
1994,2,804,17217.24738926928,21.41448680257373,25-35,0.16265425854744084,NH
1994,3,263,4486.504802821335,17.05895362289481,35-90.0001,0.05320655472385191,NH
