YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
1980,0,133,2142.0217661743645,16.105426813341087,0-10,0.0676500508646999,SH
1980,1,648,10763.228819814873,16.60992101823283,10-15,0.3296032553407935,SH
1980,2,540,10764.5403532587,19.934333987516112,15-20,0.2746693794506612,SH
1980,3,645,12885.66535847124,19.977775749567815,20-90.0001,0.32807731434384535,SH
1981,0,176,2896.4460089986637,16.457079596583316,0-10,0.09447128287707998,SH
1981,1,602,10127.55149511437,16.82317524105377,10-15,0.3231347289318304,SH
1981,2,574,10670.481341547971,18.589688748341413,15-20,0.3081052066559313,SH
1981,3,511,10837.910089788686,21.209217396846743,20-90.0001,0.27428878153515834,SH
1982,0,153,2258.721874857937,14.762888070966909,0-10,0.08703071672354949,SH
1982,1,620,10341.378002771551,16.679641939954113,10-15,0.35267349260523323,SH
1982,2,541,10865.719734007993,20.0845096746913,15-20,0.30773606370875994,SH
1982,3,444,8947.324381644636,20.15163149019062,20-90.0001,0.2525597269624573,SH
1983,0,144,1980.6018946526292,13.754179823976592,0-10,0.07574960547080484,SH
1983,1,723,10977.348385695193,15.183054475373712,10-15,0.380326144134666,SH
1983,2,664,12854.515866738468,19.359210642678416,15-20,0.3492898474487112,SH
1983,3,370,8303.683510035142,22.442387864959844,20-90.0001,0.194634402945818,SH
1984,0,110,1621.258169690978,14.738710633554346,0-10,0.053217223028543786,SH
1984,1,658,11059.944912561681,16.80842691878675,10-15,0.31833575229801647,SH
1984,2,649,13464.649763292635,20.74676388797016,15-20,0.31398161586840834,SH
1984,3,650,13627.60026345062,20.96553886684711,20-90.0001,0.31446540880503143,SH
1985,0,118,1815.221391533712,15.383232131641627,0-10,0.06194225721784777,SH
1985,1,712,12321.952260842725,17.306112725902704,10-15,0.373753280839895,SH
1985,2,687,13241.201863210581,19.27394739914204,15-20,0.3606299212598425,SH
1985,3,388,7690.636531833445,19.821228174828466,20-90.0001,0.2036745406824147,SH
1986,0,138,2307.069133139592,16.71789226912748,0-10,0.07217573221757322,SH
1986,1,600,10397.336486327837,17.328894143879726,10-15,0.3138075313807531,SH
1986,2,628,12917.082242610391,20.568602297150306,15-20,0.3284518828451883,SH
1986,3,546,11638.320944612591,21.315606125664086,20-90.0001,0.28556485355648537,SH
1987,0,185,2870.5523550824964,15.516499216662142,0-10,0.11097780443911218,SH
