domain,surface,band_idx,band_label,migration,intensity,residual,total
NH,land,0,0-15,-0.26243800148118762,-0.070512763023852107,0.0088274200960371998,-0.32412334440900248
NH,land,1,15-25,-0.3329873357206713,-0.1224194246825805,-0.015428672144799101,-0.47083543254805099
NH,land,2,25-35,0.17363451572021679,0.012247989555517201,0.061637423253646399,0.2475199285293806
NH,land,3,35-90,0.3403411782163614,-0.047540671364081598,-0.024767430384169301,0.26803307646811048
NH,ocean,0,0-15,-0.53301716827797008,0.044416877197900502,-0.0071718978050731002,-0.49577218888514268
NH,ocean,1,15-25,-0.086029835940214405,-0.034000817978621901,-0.023945143492119299,-0.1439757974109557
NH,ocean,2,25-35,0.30991916395869751,0.0157130508851046,-0.012530597810480699,0.3131016170333214
NH,ocean,3,35-90,0.34323816306403909,0.023409816820939799,0.0070762760254007998,0.37372425591037978
SH,land,0,0-10,-0.046355766441334899,-0.0065959606137662996,0.0019696527261921001,-0.050982074328909097
SH,land,1,10-15,-0.56800033530526128,0.065562743097373005,0.0086747644348216992,-0.4937628277730664
SH,land,2,15-20,0.68077460671155965,0.040532739233345598,-0.0129240459551137,0.70838329998979155
SH,land,3,20-90,0.1136760045169509,0.00046041766784960002,-0.13195622721562639,-0.017819805030825801
SH,ocean,0,0-10,-0.072594020966024297,-0.016101833558980601,0.0082164259488295005,-0.080479428576175405
SH,ocean,1,10-15,-0.38411712138807341,0.0073689419143058996,0.046289307766542401,-0.33045887170722499
SH,ocean,2,15-20,-0.050879618323632997,0.0017346452515704001,-0.039561771836690199,-0.088706744908752896
SH,ocean,3,20-90,0.61346737572753696,-0.064683503984518206,0.0074167944100834004,0.55620066615310215
