year,hemisphere,surface,total,reference,redistribution,within_band,interaction
1980,NH,ocean,18.432903195440801,19.318974023855269,-0.20300446878040723,-0.58968162813442671,-0.093384731499636067
1981,NH,ocean,19.073201109980815,19.318974023855269,0.14162082772455975,-0.44928404710330488,0.061890305504290088
1982,NH,ocean,19.022792120877256,19.318974023855269,0.13072566193494706,-0.44098144746541451,0.014073882552455733
1983,NH,ocean,20.723817109705646,19.318974023855269,-0.21402935670579237,1.8776201527219647,-0.25874771016579806
1984,NH,ocean,19.077022846773733,19.318974023855269,0.16505542662099387,-0.32663985198870865,-0.080366751713820961
1985,NH,ocean,19.616146459967236,19.318974023855269,0.04972398876366102,0.27819148498732194,-0.030743037639016847
1986,NH,ocean,18.996022395991709,19.318974023855269,-0.13342276233604378,-0.096355786760129986,-0.093173078767387313
1987,NH,ocean,18.714489849086409,19.318974023855269,-0.073583438969152426,-0.56484776733202358,0.033947031532311836
1988,NH,ocean,18.645106591638218,19.318974023855269,-0.11770690464462324,-0.60042745225656113,0.044266924684132188
1989,NH,ocean,18.602710351046941,19.318974023855269,-0.12618844673628798,-0.57548112062623513,-0.014594105445803944
1990,NH,ocean,18.89607661824348,19.318974023855269,-0.21043701784871249,-0.1737322022433572,-0.038728185519719266
1991,NH,ocean,19.036498144192787,19.318974023855269,-0.13480742660793132,-0.074348145967045989,-0.073320307087504907
1992,NH,ocean,19.232584618771352,19.318974023855269,-0.20280054924960011,-0.033680931181244503,0.15009207534692756
1993,NH,ocean,18.974059806669064,19.318974023855269,-0.2572686111585995,0.1172101115238223,-0.2048557175514259
1994,NH,ocean,18.701913883222076,19.318974023855269,-0.0097765238831879486,-0.64946232290154615,0.042178706151541699
1995,NH,ocean,18.470220605767924,19.318974023855269,0.05794009170788994,-0.86393184481358631,-0.042761664981648372
1996,NH,ocean,18.776198117193093,19.318974023855269,0.067098658264334449,-0.64027425668062243,0.030399691754110784
1997,NH,ocean,18.302178689754804,19.318974023855269,-0.094294065565616592,-0.85494654260286007,-0.067554725931987344
